parent_1,parent_2,parent_3,leaf
Specialty Schools,Education,-,Vocational & Technical School
Active Life,-,-,Volleyball
Restaurants,-,-,Waffles
Education,-,-,Waldorf Schools
Medical Centers,Health & Medical,-,Walk-in Clinics
Tours,Hotels & Travel,-,Walking Tours
Home Services,-,-,Wallpapering
Local Services,-,-,Watch Repair
Shopping,-,-,Watches
Local Services,-,-,Water Delivery
Home Services,-,-,Water Heater Installation/Repair
Active Life,-,-,Water Parks
Home Services,-,-,Waterproofing
Home Services,-,-,Water Purification Services
Food,-,-,Water Stores
Utilities,Home Services,-,Water Suppliers
Transportation,Hotels & Travel,-,Water Taxis
Hair Removal,Beauty & Spas,-,Waxing
Professional Services,-,-,Web Design
Event Planning & Services,-,-,Wedding Planning
Event Planning & Services,-,-,Wedding Chapels
Health & Medical,-,-,Weight Loss Centers
Local Services,-,-,Well Drilling
Japanese,Restaurants,-,Western Style Japanese Food
Tours,Hotels & Travel,-,Whale Watching Tours
Automotive,-,-,Wheel & Rim Repair
Bars,Nightlife,-,Whiskey Bars
Shopping,-,-,Wholesale Stores
Professional Services,-,-,Wholesalers
Shopping,-,-,Wigs
Local Services,-,-,Wildlife Control
Active Life,-,-,Wildlife Hunting Ranges
Estate Planning Law,Lawyers,Professional Services,"Wills, Trusts, & Probates"
Home Services,-,-,Windows Installation
Automotive,-,-,Windshield Installation & Repair
Bars,Nightlife,-,Wine Bars
Arts & Entertainment,-,-,Wineries
Tasting Classes,Education,-,Wine Tasting Classes
Wineries,Arts & Entertainment,-,Wine Tasting Room
Tours,Hotels & Travel,-,Wine Tours
Restaurants,-,-,Wok
Fashion,Shopping,-,Women's Clothing
Lawyers,Professional Services,-,Workers Compensation Law
Restaurants,-,-,Wraps
Festivals,Arts & Entertainment,-,Christmas Markets
Japanese,Restaurants,-,Yakiniku
Japanese,Restaurants,-,Yakitori
Local Flavor,-,-,Yelp Events
Fitness & Instruction,Active Life,-,Yoga
Local Services,-,-,Youth Club
Mexican,Restaurants,-,Yucatan
Restaurants,-,-,Yugoslav
Food,-,-,Zapiekanka
Active Life,-,-,Ziplining
Active Life,-,-,Zoos
Active Life,-,-,Zorbing
"Books, Mags, Music & Video",Shopping,-,Comic Books
"Books, Mags, Music & Video",Shopping,-,Videos & Video Game Rental
Local Services,-,-,Dry Cleaning & Laundry
Restaurants,-,-,Ethnic Food
Nightlife,-,-,Adult Entertainment
Arts & Entertainment,-,-,Ticket Sales
Active Life,-,-,Leisure Centers
Beauty & Spas,-,-,Rolfing
Local Services,-,-,Awnings
Health & Medical,-,-,Alternative Medicine
Home Services,-,-,Window Washing
Food,-,-,Ethnic Grocery
Active Life,-,-,Aquariums
