parent_1,parent_2,parent_3,leaf
Local Services,-,-,Clock Repair
Fashion,Shopping,-,Clothing Rental
Event Planning & Services,-,-,Clowns
Nightlife,-,-,Club Crawl
Bars,Nightlife,-,Cocktail Bars
Food,-,-,Coffee & Tea
Food,-,-,Coffee Roasteries
Nightlife,-,-,Coffeeshops
Food,-,-,Coffee & Tea Supplies
Education,-,-,College Counseling
Education,-,-,Colleges & Universities
Latin American,Restaurants,-,Colombian
Health & Medical,-,-,Colonics
Nightlife,-,-,Comedy Clubs
Restaurants,-,-,Comfort Food
Real Estate,Home Services,-,Commercial Real Estate
Professional Services,-,-,Commissioned Artists
Local Services,-,-,Community Book Box
Public Services & Government,-,-,Community Centers
Local Services,-,-,Community Gardens
Shopping,-,-,Computers
Shopping,-,-,Concept Shops
Health & Medical,-,-,Concierge Medicine
Real Estate,Home Services,-,Condominiums
Chinese,Restaurants,-,Congee
Lawyers,Professional Services,-,Consumer Law
Lawyers,Professional Services,-,Contract Law
Home Services,-,-,Contractors
Food,-,-,Convenience Stores
Japanese,Restaurants,-,Conveyor Belt Sushi
Arts & Crafts,Shopping,-,Cooking Classes
Specialty Schools,Education,-,Cooking Schools
Local Services,-,-,Printing Services
Restaurants,-,-,Corsican
Dentists,Health & Medical,-,Cosmetic Dentists
Beauty & Spas,-,-,Cosmetics & Beauty Supply
Doctors,Health & Medical,-,Cosmetic Surgeons
Specialty Schools,Education,-,Cosmetology Schools
Arts & Crafts,Shopping,-,Costumes
Home Services,-,-,Countertop Installation
Arts & Entertainment,-,-,Country Clubs
Nightlife,-,-,Country Dance Halls
Local Services,-,-,Couriers & Delivery Services
Public Services & Government,-,-,Courthouses
Legal Services,Professional Services,-,Court Reporters
Specialty Schools,Education,-,CPR Classes
Local Services,-,-,Crane Services
Funeral Services & Cemeteries,Local Services,-,Cremation Services
Restaurants,-,-,Creperies
Lawyers,Professional Services,-,Criminal Defense Law
Health & Medical,-,-,Crisis Pregnancy Centers
Health & Medical,-,-,Cryotherapy
Food,-,-,CSA
Restaurants,-,-,Cuban
Italian,Restaurants,-,Cucina campana
Arts & Entertainment,-,-,Cultural Center
Food,-,-,Cupcakes
Financial Services,-,-,Currency Exchange
Restaurants,-,-,Curry Sausage
Food,-,-,Custom Cakes
Shopping,-,-,Customized Merchandise
Professional Services,-,-,Customs Brokers
Active Life,-,-,Cycling Classes
Restaurants,-,-,Cypriot
Restaurants,-,-,Czech
Restaurants,-,-,Czech/Slovakian
Home Services,-,-,Damage Restoration
Specialty Schools,Education,-,Dance Schools
Nightlife,-,-,Dance Clubs
Nightlife,-,-,Dance Restaurants
Fitness & Instruction,Active Life,-,Dance Studios
Sports Wear,Sporting Goods,Shopping,Dance Wear
Restaurants,-,-,Danish
Active Life,-,-,Dart Arenas
IT Services & Computer Repair,Local Services,-,Data Recovery
Active Life,-,-,Day Camps
Financial Services,-,-,Debt Relief Services
Home Services,-,-,Decks & Railing
Food,-,-,Delicatessen
Restaurants,-,-,Delis
Home Services,-,-,Demolition Services
Dental Hygienists,Health & Medical,-,Storefront Clinics
Health & Medical,-,-,Dental Hygienists
Dental Hygienists,Health & Medical,-,Mobile Clinics
Health & Medical,-,-,Dentists
Public Services & Government,-,-,Departments of Motor Vehicles
Shopping,-,-,Department Stores
Doctors,Health & Medical,-,Dermatologists
Food,-,-,Desserts
Diagnostic Services,Health & Medical,-,Diagnostic Imaging
Health & Medical,-,-,Diagnostic Services
Health & Medical,-,-,Dialysis Clinics
Shopping,-,-,Diamond Buyers
Health & Medical,-,-,Dietitians
Professional Services,-,-,Digitizing Services
Chinese,Restaurants,-,Dim Sum
Restaurants,-,-,Diners
Restaurants,-,-,Dinner Theater
Lawyers,Professional Services,-,Disability Law
Active Life,-,-,Disc Golf
Shopping,-,-,Discount Store
Food,-,-,Distilleries
Bars,Nightlife,-,Dive Bars
Sporting Goods,Shopping,-,Dive Shops
Active Life,-,-,Diving
Lawyers,Professional Services,-,Divorce & Family Law
Auto Repair,Automotive,-,DIY Auto Shop
Food,-,-,Do-It-Yourself Food
Event Planning & Services,-,-,DJs
Parks,Active Life,-,Dog Parks
Pet Services,Pets,-,Dog Walkers
Transportation,Hotels & Travel,-,Dolmus Station
Caribbean,Restaurants,-,Dominican
Food,-,-,Donairs
Local Services,-,-,Donation Center
Japanese,Restaurants,-,Donburi
Food,-,-,Donuts
Home Services,-,-,Door Sales/Installation
Health & Medical,-,-,Doulas
Specialty Schools,Education,-,Drama Schools
Specialty Food,Food,-,Dried Fruit
Cinema,Arts & Entertainment,-,Drive-In Theater
Bars,Nightlife,-,Drive-Thru Bars
Specialty Schools,Education,-,Driving Schools
Shopping,-,-,Drones
Shopping,-,-,Drugstores
Laundry Services,Local Services,-,Dry Cleaning
Home Services,-,-,Drywall Installation & Repair
Lawyers,Professional Services,-,DUI Law
Specialty Schools,Education,-,DUI Schools
Restaurants,-,-,Dumplings
Junk Removal & Hauling,Local Services,-,Dumpster Rental
Professional Services,-,-,Duplication Services
Shopping,-,-,Duty-Free Shops
Doctors,Health & Medical,-,Ear Nose & Throat
Restaurants,-,-,Eastern European
German,Restaurants,-,Eastern German
Mexican,Restaurants,-,Eastern Mexican
Arts & Entertainment,-,-,Eatertainment
Professional Services,-,-,Editorial Services
Education,-,-,Educational Services
Middle Eastern,Restaurants,-,Egyptian
Local Services,-,-,Elder Care Planning
Lawyers,Professional Services,-,Elder Law
Home Services,-,-,Electricians
Utilities,Home Services,-,Electricity Suppliers
Shopping,-,-,Electronics
Local Services,-,-,Electronics Repair
Education,-,-,Elementary Schools
Local Services,-,-,Elevator Services
Restaurants,-,-,Parent Cafes
Public Services & Government,-,-,Embassy
Arts & Crafts,Shopping,-,Embroidery & Crochet
Doctors,Health & Medical,-,Emergency Medicine
Pet Services,Pets,-,Emergency Pet Hospital
Health & Medical,-,-,Emergency Rooms
Italian,Restaurants,-,Emilian
Food,-,-,Empanadas
Professional Services,-,-,Employment Agencies
Lawyers,Professional Services,-,Employment Law
Fitness & Instruction,Active Life,-,EMS Training
Doctors,Health & Medical,-,Endocrinologists
Dentists,Health & Medical,-,Endodontists
Local Services,-,-,Engraving
Lawyers,Professional Services,-,Entertainment Law
Local Services,-,-,Environmental Abatement
Local Services,-,-,Environmental Testing
Restaurants,-,-,Eritrean
Beauty & Spas,-,-,Erotic Massage
Active Life,-,-,Escape Games
Real Estate,Home Services,-,Estate Liquidation
Real Estate Services,Real Estate,Home Services,Real Estate Photography
Lawyers,Professional Services,-,Estate Planning Law
Skin Care,Beauty & Spas,-,Estheticians
Food,-,-,Ethical Grocery
Restaurants,-,-,Ethiopian
Automotive,-,-,EV Charging Stations
Photographers,Event Planning & Services,-,Event Photography
Event Planning & Services,-,-,Party & Event Planning
-,-,-,Event Planning & Services
Home Services,-,-,Excavation Services
Active Life,-,-,Experiences
Beauty & Spas,-,-,Eyebrow Services
Beauty & Spas,-,-,Eyelash Service
Arts & Crafts,Shopping,-,Fabric Stores
Event Planning & Services,-,-,Face Painting
Portuguese,Restaurants,-,Fado Houses
Crisis Pregnancy Centers,Health & Medical,-,Faith-based Crisis Pregnancy Centers
Mediterranean,Restaurants,-,Falafel
Doctors,Health & Medical,-,Family Practice
Local Services,-,-,Farm Equipment Repair
Food,-,-,Farmers Market
Shopping,-,-,Farming Equipment
Arts & Entertainment,-,-,Farms
Pet Services,Pets,-,Farriers
Shopping,-,-,Fashion
Nightlife,-,-,Fasil Music
Home Services,-,-,Fences & Gates
Active Life,-,-,Fencing Clubs
Professional Services,-,-,Feng Shui
Transportation,Hotels & Travel,-,Ferries
Doctors,Health & Medical,-,Fertility
Arts & Entertainment,-,-,Festivals
Restaurants,-,-,Filipino
Financial Services,-,-,Financial Advising
Local Services,-,-,Fingerprinting
Specialty Schools,Education,-,Firearm Training
Public Services & Government,-,-,Fire Departments
Home Services,-,-,Fireplace Services
Home Services,-,-,Fire Protection Services
Home Services,-,-,Firewood
Shopping,-,-,Fireworks
Specialty Schools,Education,-,First Aid Classes
Restaurants,-,-,Fischbroetchen
Active Life,-,-,Fishing
Food,-,-,Fishmonger
Restaurants,-,-,Fish & Chips
Active Life,-,-,Fitness & Instruction
Shopping,-,-,Fitness/Exercise Equipment
Restaurants,-,-,Flatbread
Shopping,-,-,Flea Markets
Belgian,Restaurants,-,Flemish
Specialty Schools,Education,-,Flight Instruction
Health & Medical,-,-,Float Spa
Home Services,-,-,Flooring
Event Planning & Services,-,-,Floral Designers
Flowers & Gifts,Shopping,-,Florists
Shopping,-,-,Flowers & Gifts
Active Life,-,-,Flyboarding
Restaurants,-,-,Fondue
Restaurants,-,-,Food Court
Community Service/Non-Profit,Local Services,-,Food Banks
Food,-,-,Food Delivery Services
Specialty Schools,Education,-,Food Safety Training
Restaurants,-,-,Food Stands
Tours,Hotels & Travel,-,Food Tours
Food,-,-,Food Trucks
Active Life,-,-,Soccer
Beauty & Spas,-,-,Foot Care
Local Services,-,-,Forestry
Fashion,Shopping,-,Formal Wear
